i,이름, 코드, 거래소, koscom_day, naver_day
2000,엑스포넌트,EXPO.O,나스닥 증권거래소,20230331,20230331
2001,익스프레스,EXPR.K,뉴욕 거래소,20230429,20230429
2002,엑스트라 스페이스 스토리지,EXR,뉴욕 거래소,20230331,20230331
2003,익스트림 네트웍스,EXTR.O,나스닥 증권거래소,20230331,20230331
2004,내셔널 비전 홀딩스,EYE.O,나스닥 증권거래소,20230401,20230401
2005,아이노비아,EYEN.O,나스닥 증권거래소,20230331,20230331
2007,아이포인트 파머수티컬스,EYPT.O,나스닥 증권거래소,20230331,20230331
2008,이지필 홀딩스,EZFL.O,나스닥 증권거래소,20230331,20230331
2009,이지고 테크놀로지스,EZGO.O,나스닥 증권거래소,20220930,20220930
2010,이즈코프,EZPW.O,나스닥 증권거래소,20230331,20230331
2012,포드 모터,F,뉴욕 거래소,20230331,20230331
2013,퍼스트 어드밴티지,FA.O,나스닥 증권거래소,20230331,20230331
2014,프리덤 애퀴지션 I,FACT.K,뉴욕 거래소,20230331,20230331
2015,퍼스트 아메리칸 파이낸셜,FAF,뉴욕 거래소,20230331,20230331
2016,파르미,FAMI.O,나스닥 증권거래소,20220930,20220930
2017,다이아몬드백 에너지,FANG.O,나스닥 증권거래소,20230331,20230331
2018,판후아 ADR,FANH.O,나스닥 증권거래소,20230331,20230331
2019,파머 브로스,FARM.O,나스닥 증권거래소,20230331,20230331
2020,파로 테크놀로지스,FARO.O,나스닥 증권거래소,20230331,20230331
2021,패스널,FAST.O,나스닥 증권거래소,20230331,20230331
2022,팻 브랜즈 Class A,FAT.O,나스닥 증권거래소,20230326,20230326
2023,페이트 테라퓨틱스,FATE.O,나스닥 증권거래소,20230331,20230331
2024,파톰 디지털 매뉴팩처링,FATH.K,뉴욕 거래소,20230331,20230331
2025,팻 프로젝츠 애퀴지션,FATP.O,나스닥 증권거래소,20230331,20230331
2026,abrdn Asia Pacific Income Mutual Fund,FAX,아멕스 증권거래소,20221031,20221031
2027,페이즈 홀딩스,FAZE.O,나스닥 증권거래소,20230331,20230331
2028,포츈 브랜즈 이노베이션스,FBIN.K,뉴욕 거래소,20230401,20230401
2029,포트리스 바이오텍,FBIO.O,나스닥 증권거래소,20230331,20230331
2030,퍼스트 비즈니스 파이낸셜 서비스,FBIZ.O,나스닥 증권거래소,20230331,20230331
2031,FB 파이낸셜 그룹,FBK,뉴욕 거래소,20230331,20230331
2032,퍼스트 뱅크셰어스(미시시피),FBMS.O,나스닥 증권거래소,20230331,20230331
2033,퍼스트 뱅코프(노스 캐롤라이나),FBNC.O,나스닥 증권거래소,20230331,20230331
2034,퍼스트 뱅코프 푸에르토 리코,FBP,뉴욕 거래소,20230331,20230331
2035,프랭클린 BSP 리얼티 트러스트,FBRT.K,뉴욕 거래소,20230331,20230331
2036,포르테 바이오사이언스,FBRX.O,나스닥 증권거래소,20230331,20230331
2037,프랭클린 커비,FC,뉴욕 거래소,20230228,20230228
2038,퍼스트 캐피탈,FCAP.O,나스닥 증권거래소,20230331,20230331
2039,퍼스트 커뮤니티 뱅크셰어스,FCBC.O,나스닥 증권거래소,20230331,20230331
2040,퍼스트 커뮤니티 (사우스 케롤라이나),FCCO.O,나스닥 증권거래소,20230331,20230331
2041,퓨얼셀 에너지,FCEL.O,나스닥 증권거래소,20230430,20230430
2042,퍼스트 커먼웰스 파이낸셜,FCF,뉴욕 거래소,20230331,20230331
2043,퍼스트캐쉬 홀딩스,FCFS.O,나스닥 증권거래소,20230331,20230331
2044,FTI 컨설팅,FCN,뉴욕 거래소,20230331,20230331
2045,퍼스트 시티즌스 뱅크셰어스 (델라웨어),FCNCA.O,나스닥 증권거래소,20230331,20230331
2046,포 코너스 프로퍼티 트러스트,FCPT.K,뉴욕 거래소,20230331,20230331
2047,포커스 유니버설,FCUV.O,나스닥 증권거래소,20230331,20230331
2048,프리포트 맥모란,FCX,뉴욕 거래소,20230331,20230331
2050,피델리티 D&D 뱅코프,FDBC.O,나스닥 증권거래소,20230331,20230331
2051,First Trust Dynamic Europe Equity Income Fund,FDEU.K,뉴욕 거래소,20221231,20221231
2052,4D 몰레큘러 테라퓨틱스,FDMT.O,나스닥 증권거래소,20230331,20230331
2053,프레쉬 델몬트 프로듀스,FDP,뉴욕 거래소,20230331,20230331
2054,팩트셋 리서치 시스템즈,FDS,뉴욕 거래소,20230228,20230228
2055,파이더스 인베스트먼트,FDUS.O,나스닥 증권거래소,20230331,20230331
2056,페덱스,FDX,뉴욕 거래소,20230228,20230228
2057,퍼스트에너지,FE,뉴욕 거래소,20230331,20230331
2058,5E 어드밴스드 머터리얼즈,FEAM.O,나스닥 증권거래소,20230331,20230331
2059,First Trust MLP and Energy Income Fund,FEI,뉴욕 거래소,20221031,20221031
2060,프리컨시 일렉트로닉스,FEIM.O,나스닥 증권거래소,20230131,20230131
2061,프랭클린 일렉트릭,FELE.O,나스닥 증권거래소,20230331,20230331
2062,피메이시스,FEMY.O,나스닥 증권거래소,20230331,20230331
2063,페넥 파머수티컬스,FENC.O,나스닥 증권거래소,20230331,20230331
2064,피닉스 뉴 미디어 ADR,FENG.K,뉴욕 거래소,20230331,20230331
2065,퍼거슨,FERG.K,뉴욕 거래소,20230430,20230430
2066,포럼 에너지 테크놀로지스,FET,뉴욕 거래소,20230331,20230331
2067,핀테크 에코시스템 디벨롭먼트,FEXD.O,나스닥 증권거래소,20230331,20230331
2068,퓨처퓨얼,FF,뉴욕 거래소,20230331,20230331
2069,퍼스트 파이낸셜 뱅코프,FFBC.O,나스닥 증권거래소,20230331,20230331
2070,플러싱 파이낸셜,FFIC.O,나스닥 증권거래소,20230331,20230331
2071,패러데이 퓨처 인텔리전트 일렉트릭,FFIE.O,나스닥 증권거래소,20230331,20230331
2072,퍼스트 파이낸셜 뱅크셰어스,FFIN.O,나스닥 증권거래소,20230331,20230331
2073,F5,FFIV.O,나스닥 증권거래소,20230331,20230331
2074,퍼스트 파이낸셜 노스웨스트,FFNW.O,나스닥 증권거래소,20230331,20230331
2075,퍼스트 파운데이션,FFWM.O,나스닥 증권거래소,20230331,20230331
2076,F&G 어뉴어티 앤 라이프,FG,뉴욕 거래소,20230331,20230331
2077,퍼스트 개런티 뱅크셰어스,FGBI.O,나스닥 증권거래소,20230331,20230331
2078,파이브로젠,FGEN.O,나스닥 증권거래소,20230331,20230331
2079,FG 파이낸셜 그룹,FGF.O,나스닥 증권거래소,20230331,20230331
